31-03-2026 20:50:40 | GET | cafeteria-api/produtos
31-03-2026 20:50:40 | GET | cafeteria-api/produtos
31-03-2026 20:50:45 | GET | cafeteria-api/categorias
31-03-2026 20:50:50 | GET | cafeteria-api/produtos
31-03-2026 20:51:19 | GET | cafeteria-api/categorias
31-03-2026 20:51:41 | GET | cafeteria-api/categorias
31-03-2026 20:51:57 | POST | cafeteria-api/categorias
31-03-2026 20:51:57 | GET | cafeteria-api/categorias
31-03-2026 20:52:01 | GET | cafeteria-api/produtos
31-03-2026 20:52:14 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:52:14 | POST | cafeteria-api/produtos
31-03-2026 20:52:14 | GET | cafeteria-api/produtos
31-03-2026 20:52:41 | OPTIONS | cafeteria-api/produtos/7
31-03-2026 20:52:41 | DELETE | cafeteria-api/produtos/7
31-03-2026 20:52:41 | GET | cafeteria-api/produtos
07-04-2026 16:17:35 | GET | cafeteria-api/produtos
07-04-2026 16:17:37 | GET | cafeteria-api/categorias
07-04-2026 16:17:50 | GET | cafeteria-api/categorias
07-04-2026 16:17:54 | GET | cafeteria-api/pedidos
07-04-2026 16:17:58 | POST | cafeteria-api/pedidos
07-04-2026 16:17:58 | GET | cafeteria-api/pedidos
07-04-2026 16:18:06 | GET | cafeteria-api/categorias
07-04-2026 16:18:06 | GET | cafeteria-api/categorias
07-04-2026 16:18:07 | GET | cafeteria-api/categorias
07-04-2026 16:18:08 | GET | cafeteria-api/produtos
07-04-2026 16:18:11 | GET | cafeteria-api/produtos
07-04-2026 16:18:21 | GET | cafeteria-api/produtos
07-04-2026 16:18:27 | GET | cafeteria-api/produtos
07-04-2026 16:18:30 | GET | cafeteria-api/categorias
07-04-2026 16:18:43 | GET | cafeteria-api/categorias
07-04-2026 16:18:46 | GET | cafeteria-api/categorias
07-04-2026 16:18:46 | GET | cafeteria-api/categorias
07-04-2026 16:18:46 | GET | cafeteria-api/categorias
07-04-2026 16:18:53 | GET | cafeteria-api/categorias
07-04-2026 16:18:57 | GET | cafeteria-api/pedidos
07-04-2026 16:19:11 | GET | cafeteria-api/pedidos
07-04-2026 16:19:15 | GET | cafeteria-api/pedidos
07-04-2026 16:19:16 | GET | cafeteria-api/pedidos
07-04-2026 16:19:17 | GET | cafeteria-api/pedidos
07-04-2026 16:19:17 | GET | cafeteria-api/pedidos
07-04-2026 16:19:18 | GET | cafeteria-api/pedidos
07-04-2026 16:19:23 | POST | cafeteria-api/pedidos
07-04-2026 16:19:23 | GET | cafeteria-api/pedidos
07-04-2026 16:20:47 | POST | cafeteria-api/pedidos
07-04-2026 16:20:47 | GET | cafeteria-api/pedidos
07-04-2026 16:23:33 | GET | cafeteria-api/pedidos
07-04-2026 16:25:24 | GET | cafeteria-api/pedidos
07-04-2026 16:34:50 | GET | cafeteria-api/pedidos
07-04-2026 16:34:54 | POST | cafeteria-api/pedidos
07-04-2026 16:34:54 | GET | cafeteria-api/pedidos
07-04-2026 16:36:23 | GET | cafeteria-api/pedidos
07-04-2026 16:36:26 | GET | cafeteria-api/pedidos
07-04-2026 16:36:27 | GET | cafeteria-api/pedidos
07-04-2026 16:36:28 | GET | cafeteria-api/produtos
07-04-2026 16:36:30 | GET | cafeteria-api/categorias
07-04-2026 16:36:35 | GET | cafeteria-api/categorias
07-04-2026 16:36:59 | GET | cafeteria-api/pedidos
07-04-2026 16:37:01 | GET | cafeteria-api/produtos
07-04-2026 16:37:03 | GET | cafeteria-api/categorias
07-04-2026 16:37:11 | GET | cafeteria-api/produtos
07-04-2026 16:37:26 | GET | cafeteria-api/produtos
07-04-2026 16:37:26 | GET | cafeteria-api/produtos
07-04-2026 16:37:34 | GET | cafeteria-api/produtos
07-04-2026 16:37:48 | GET | cafeteria-api/produtos
07-04-2026 16:37:48 | GET | cafeteria-api/produtos
07-04-2026 16:37:48 | GET | cafeteria-api/produtos
07-04-2026 16:37:48 | GET | cafeteria-api/produtos
07-04-2026 16:37:49 | GET | cafeteria-api/produtos
07-04-2026 16:37:49 | GET | cafeteria-api/produtos
07-04-2026 16:38:01 | GET | cafeteria-api/produtos
07-04-2026 16:38:13 | GET | cafeteria-api/produtos
07-04-2026 16:38:14 | GET | cafeteria-api/produtos
07-04-2026 16:38:14 | GET | cafeteria-api/produtos
07-04-2026 16:38:14 | GET | cafeteria-api/produtos
07-04-2026 16:38:14 | GET | cafeteria-api/produtos
07-04-2026 16:38:14 | GET | cafeteria-api/produtos
07-04-2026 16:38:14 | GET | cafeteria-api/produtos
07-04-2026 16:38:15 | GET | cafeteria-api/produtos
07-04-2026 16:38:15 | GET | cafeteria-api/produtos
07-04-2026 16:38:15 | GET | cafeteria-api/produtos
07-04-2026 16:38:16 | GET | cafeteria-api/pedidos
07-04-2026 16:38:17 | GET | cafeteria-api/produtos
07-04-2026 16:38:17 | GET | cafeteria-api/categorias
07-04-2026 16:38:18 | GET | cafeteria-api/pedidos
07-04-2026 16:38:21 | POST | cafeteria-api/pedidos
07-04-2026 16:38:21 | GET | cafeteria-api/pedidos
07-04-2026 16:44:40 | GET | cafeteria-api/pedidos
07-04-2026 16:44:43 | POST | cafeteria-api/pedidos
07-04-2026 16:44:43 | GET | cafeteria-api/pedidos
07-04-2026 16:46:18 | GET | cafeteria-api/pedidos
07-04-2026 16:46:19 | GET | cafeteria-api/pedidos
07-04-2026 16:47:06 | GET | cafeteria-api/pedidos
07-04-2026 16:47:08 | GET | cafeteria-api/produtos
07-04-2026 16:47:16 | GET | cafeteria-api/categorias
07-04-2026 16:47:18 | GET | cafeteria-api/produtos
07-04-2026 16:47:47 | GET | cafeteria-api/pedidos
07-04-2026 16:52:40 | GET | cafeteria-api/pedidos
07-04-2026 16:52:42 | GET | cafeteria-api/categorias
07-04-2026 16:52:45 | GET | cafeteria-api/produtos
07-04-2026 16:52:50 | GET | cafeteria-api/categorias
07-04-2026 16:59:45 | GET | cafeteria-api/pedidos
07-04-2026 17:01:27 | GET | cafeteria-api/pedidos
07-04-2026 17:02:29 | GET | cafeteria-api/pedidos
07-04-2026 17:03:12 | GET | cafeteria-api/pedidos
07-04-2026 17:03:41 | GET | cafeteria-api/pedidos
07-04-2026 17:04:02 | OPTIONS | cafeteria-api/pedidos/1
07-04-2026 17:04:02 | DELETE | cafeteria-api/pedidos/1
07-04-2026 17:04:02 | GET | cafeteria-api/pedidos
07-04-2026 17:04:23 | GET | cafeteria-api/pedidos
07-04-2026 17:04:54 | POST | cafeteria-api/pedidos
07-04-2026 17:04:56 | POST | cafeteria-api/pedidos
07-04-2026 17:06:04 | GET | cafeteria-api/pedidos
07-04-2026 17:07:06 | POST | cafeteria-api/pedidos
07-04-2026 17:07:49 | GET | cafeteria-api/pedidos
07-04-2026 17:08:05 | GET | cafeteria-api/pedidos
