2026-04-10 16:16:00 | GET | meus-planos-api/categorias
2026-04-10 16:16:10 | OPTIONS | meus-planos-api/itens
2026-04-10 16:16:10 | POST | meus-planos-api/itens
2026-04-10 16:16:10 | GET | meus-planos-api/itens
2026-04-10 16:17:01 | GET | meus-planos-api/categorias
2026-04-10 16:17:01 | GET | meus-planos-api/itens
2026-04-10 16:17:04 | OPTIONS | meus-planos-api/itens/2
2026-04-10 16:17:04 | DELETE | meus-planos-api/itens/2
2026-04-10 16:17:04 | GET | meus-planos-api/itens
2026-04-10 16:17:08 | OPTIONS | meus-planos-api/itens/1
2026-04-10 16:17:08 | DELETE | meus-planos-api/itens/1
2026-04-10 16:17:08 | GET | meus-planos-api/itens
2026-04-10 16:17:08 | GET | meus-planos-api/categorias
2026-04-10 16:17:08 | GET | meus-planos-api/itens
2026-04-10 16:17:10 | GET | meus-planos-api/categorias
2026-04-10 16:17:43 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:17:43 | POST | meus-planos-api/categorias
2026-04-10 16:17:43 | GET | meus-planos-api/categorias
2026-04-10 16:18:00 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:18:00 | POST | meus-planos-api/categorias
2026-04-10 16:18:00 | GET | meus-planos-api/categorias
2026-04-10 16:18:15 | GET | meus-planos-api/categorias
2026-04-10 16:18:15 | GET | meus-planos-api/itens
2026-04-10 16:18:31 | OPTIONS | meus-planos-api/itens
2026-04-10 16:18:31 | POST | meus-planos-api/itens
2026-04-10 16:18:31 | GET | meus-planos-api/itens
2026-04-10 16:18:37 | OPTIONS | meus-planos-api/itens/3
2026-04-10 16:18:37 | PUT | meus-planos-api/itens/3
2026-04-10 16:18:37 | GET | meus-planos-api/itens
2026-04-10 16:18:39 | PUT | meus-planos-api/itens/3
2026-04-10 16:18:39 | GET | meus-planos-api/itens
2026-04-10 16:18:39 | PUT | meus-planos-api/itens/3
2026-04-10 16:18:39 | GET | meus-planos-api/itens
2026-04-10 16:29:45 | GET | meus-planos-api/itens
rias
2026-04-10 16:30:30 | OPTIONS | meus-planos-api/itens/3
2026-04-10 16:30:30 | PUT | meus-planos-api/itens/3
2026-04-10 16:30:30 | GET | meus-planos-api/itens
2026-04-10 16:30:31 | PUT | meus-planos-api/itens/3
2026-04-10 16:30:31 | GET | meus-planos-api/itens
2026-04-10 16:30:31 | PUT | meus-planos-api/itens/3
2026-04-10 16:30:31 | GET | meus-planos-api/itens
2026-04-10 16:30:32 | PUT | meus-planos-api/itens/3
2026-04-10 16:30:32 | GET | meus-planos-api/itens
2026-04-10 16:30:32 | PUT | meus-planos-api/itens/3
2026-04-10 16:30:32 | GET | meus-planos-api/itens
2026-04-10 16:30:33 | PUT | meus-planos-api/itens/3
2026-04-10 16:30:33 | GET | meus-planos-api/itens
2026-04-10 16:30:36 | GET | meus-planos-api/categorias
2026-04-10 16:30:36 | GET | meus-planos-api/itens
2026-04-10 16:30:48 | GET | meus-planos-api/categorias
2026-04-10 16:30:50 | GET | meus-planos-api/categorias
2026-04-10 16:31:05 | GET | meus-planos-api/categorias
2026-04-10 16:31:06 | GET | meus-planos-api/categorias
2026-04-10 16:31:22 | GET | meus-planos-api/itens
rias
2026-04-10 16:31:22 | GET | meus-planos-api/categorias
2026-04-10 16:31:22 | GET | meus-planos-api/itens
2026-04-10 16:31:23 | GET | meus-planos-api/itens
rias
2026-04-10 16:31:23 | GET | meus-planos-api/categorias
2026-04-10 16:31:58 | GET | meus-planos-api/itens
rias
2026-04-10 16:31:59 | GET | meus-planos-api/itens
2026-04-10 16:31:59 | GET | meus-planos-api/categorias
2026-04-10 16:32:03 | GET | meus-planos-api/itens
rias
2026-04-10 16:32:07 | GET | meus-planos-api/itens
rias
2026-04-10 16:32:13 | GET | meus-planos-api/itens
rias
2026-04-10 16:36:13 | GET | meus-planos-api/categorias
2026-04-10 16:36:13 | GET | meus-planos-api/itens
2026-04-10 16:36:13 | GET | meus-planos-api/categorias
2026-04-10 16:36:19 | GET | meus-planos-api/categorias
2026-04-10 16:36:19 | GET | meus-planos-api/itens
2026-04-10 16:36:20 | GET | meus-planos-api/categorias
2026-04-10 16:36:20 | GET | meus-planos-api/itens
2026-04-10 16:36:28 | GET | meus-planos-api/categorias
2026-04-10 16:36:53 | OPTIONS | meus-planos-api/itens
2026-04-10 16:36:53 | POST | meus-planos-api/itens
2026-04-10 16:36:53 | GET | meus-planos-api/itens
2026-04-10 16:37:58 | GET | meus-planos-api/itens
2026-04-10 16:37:58 | GET | meus-planos-api/itens
2026-04-10 16:41:30 | GET | meus-planos-api/itens
rias
2026-04-10 16:41:32 | GET | meus-planos-api/categorias
2026-04-10 16:41:49 | GET | meus-planos-api/categorias
2026-04-10 16:42:16 | GET | meus-planos-api/categorias
2026-04-10 16:42:43 | GET | meus-planos-api/categorias
2026-04-10 16:42:43 | GET | meus-planos-api/categorias
2026-04-10 16:48:47 | GET | meus-planos-api/categorias
2026-04-10 16:48:55 | GET | meus-planos-api/categorias
2026-04-10 16:48:59 | GET | meus-planos-api/categorias
2026-04-10 16:49:00 | GET | meus-planos-api/categorias
2026-04-10 16:49:01 | GET | meus-planos-api/itens
rias
2026-04-10 16:50:45 | GET | meus-planos-api/categorias
2026-04-10 16:52:56 | GET | meus-planos-api/categorias
2026-04-10 16:52:56 | GET | meus-planos-api/itens
2026-04-10 16:52:59 | GET | meus-planos-api/categorias
2026-04-10 16:53:00 | GET | meus-planos-api/categorias
2026-04-10 16:53:00 | GET | meus-planos-api/itens
2026-04-10 16:53:47 | OPTIONS | meus-planos-api/itens
2026-04-10 16:53:47 | POST | meus-planos-api/itens
2026-04-10 16:53:47 | GET | meus-planos-api/itens
2026-04-10 16:55:28 | GET | meus-planos-api/categorias
2026-04-10 16:56:00 | GET | meus-planos-api/itens
rias
2026-04-10 16:57:12 | OPTIONS | meus-planos-api/itens
2026-04-10 16:57:12 | POST | meus-planos-api/itens
2026-04-10 16:57:12 | GET | meus-planos-api/itens
2026-04-10 16:57:22 | GET | meus-planos-api/categorias
2026-04-10 16:57:36 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:57:36 | POST | meus-planos-api/categorias
2026-04-10 16:57:37 | GET | meus-planos-api/categorias
2026-04-10 16:57:52 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:57:52 | POST | meus-planos-api/categorias
2026-04-10 16:57:52 | GET | meus-planos-api/categorias
2026-04-10 16:58:07 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:58:07 | POST | meus-planos-api/categorias
2026-04-10 16:58:07 | GET | meus-planos-api/categorias
2026-04-10 16:58:22 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:58:22 | POST | meus-planos-api/categorias
2026-04-10 16:58:22 | GET | meus-planos-api/categorias
2026-04-10 16:59:25 | GET | meus-planos-api/categorias
2026-04-10 16:59:35 | GET | meus-planos-api/categorias
2026-04-10 16:59:58 | GET | meus-planos-api/categorias
2026-04-10 17:02:59 | GET | meus-planos-api/categorias
2026-04-10 17:02:59 | GET | meus-planos-api/itens
2026-04-10 17:03:06 | GET | meus-planos-api/categorias
2026-04-10 17:03:16 | GET | meus-planos-api/categorias
2026-04-10 17:05:10 | OPTIONS | meus-planos-api/itens
2026-04-10 17:05:10 | POST | meus-planos-api/itens
2026-04-10 17:05:10 | GET | meus-planos-api/itens
2026-04-10 17:05:33 | GET | meus-planos-api/categorias
2026-04-10 17:07:13 | GET | meus-planos-api/itens
rias
2026-04-10 17:07:31 | GET | meus-planos-api/categorias
2026-04-10 17:07:44 | OPTIONS | meus-planos-api/categorias
2026-04-10 17:07:44 | POST | meus-planos-api/categorias
2026-04-10 17:07:44 | GET | meus-planos-api/categorias
2026-04-10 17:07:47 | GET | meus-planos-api/categorias
2026-04-10 17:07:47 | GET | meus-planos-api/itens
2026-04-10 17:08:45 | OPTIONS | meus-planos-api/itens
2026-04-10 17:08:45 | POST | meus-planos-api/itens
2026-04-10 17:08:45 | GET | meus-planos-api/itens
2026-04-10 17:09:44 | GET | meus-planos-api/categorias
2026-04-10 17:09:59 | GET | meus-planos-api/categorias
2026-04-10 17:09:59 | GET | meus-planos-api/itens
2026-04-10 17:10:58 | OPTIONS | meus-planos-api/itens/3
2026-04-10 17:10:58 | DELETE | meus-planos-api/itens/3
2026-04-10 17:10:58 | GET | meus-planos-api/itens
2026-04-10 17:11:21 | OPTIONS | meus-planos-api/itens
2026-04-10 17:11:21 | POST | meus-planos-api/itens
2026-04-10 17:11:21 | GET | meus-planos-api/itens
2026-04-10 17:14:23 | GET | meus-planos-api/itens
2026-04-10 17:14:23 | GET | meus-planos-api/categorias
2026-04-10 17:14:31 | GET | meus-planos-api/categorias
2026-04-10 17:14:31 | GET | meus-planos-api/itens
2026-04-10 17:16:50 | GET | meus-planos-api/categorias
2026-04-10 17:17:09 | GET | meus-planos-api/categorias
2026-04-10 17:17:30 | GET | meus-planos-api/itens
2026-04-10 17:17:30 | GET | meus-planos-api/categorias
2026-04-10 17:18:59 | GET | meus-planos-api/categorias
2026-04-10 19:22:04 | GET | meus-planos-api/categorias
2026-04-10 19:22:07 | GET | meus-planos-api/categorias
2026-04-10 19:22:07 | GET | meus-planos-api/itens
2026-04-10 19:24:41 | GET | meus-planos-api/categorias
2026-04-10 20:48:05 | GET | meus-planos-api
